Date,Open,High,Low,Close,Volume,Adj Close
2014/4/14,25.17,25.18,25.17,25.17,28500,25.17
2014/4/11,25.18,25.19,25.17,25.17,34300,25.17
2014/4/10,25.17,25.18,25.17,25.17,102600,25.17
2014/4/9,25.17,25.18,25.17,25.18,55000,25.18
2014/4/8,25.17,25.18,25.17,25.18,117400,25.18
2014/4/7,25.17,25.18,25.17,25.18,79900,25.18
2014/4/4,25.17,25.18,25.16,25.17,88400,25.17
2014/4/3,25.17,25.18,25.16,25.17,135100,25.17
2014/4/2,25.17,25.18,25.16,25.16,100300,25.16
2014/4/1,25.16,25.18,25.16,25.17,116600,25.17
2014/3/31,25.16,25.17,25.16,25.16,31900,25.16
2014/3/28,25.16,25.18,25.16,25.17,100500,25.17
2014/3/27,25.1,25.16,25.08,25.14,81200,25.14
2014/3/26,25.16,25.16,25.06,25.16,43100,25.16
2014/3/25,25.18,25.19,25.11,25.16,42000,25.16
2014/3/24,25.16,25.19,25.09,25.19,37700,25.19
2014/3/21,25.15,25.15,25.1,25.13,24000,25.13
2014/3/20,25.15,25.15,25.06,25.15,31700,25.15
2014/3/19,25.11,25.15,25.1,25.15,41300,25.15
2014/3/18,25.09,25.15,25.05,25.15,39000,25.15
2014/3/17,25.09,25.1,25.05,25.1,63800,25.1
2014/3/14,25.06,25.1,25.05,25.07,64200,25.07
2014/3/13,25.07,25.11,25.05,25.1,43600,25.1
2014/3/12,25.07,25.13,25.05,25.13,25700,25.13
2014/3/11,25.4,25.47,25.39,25.47,40100,25.07
2014/3/10,25.44,25.45,25.36,25.45,39600,25.05
2014/3/7,25.41,25.45,25.35,25.44,53000,25.04
2014/3/6,25.48,25.48,25.4,25.42,39200,25.02
2014/3/5,25.41,25.48,25.4,25.48,21100,25.08
2014/3/4,25.38,25.47,25.38,25.47,24700,25.07
2014/3/3,25.45,25.45,25.35,25.42,64300,25.02
2014/2/28,25.46,25.48,25.38,25.38,29900,24.98
2014/2/27,25.43,25.47,25.42,25.46,9300,25.06
2014/2/26,25.45,25.48,25.4,25.43,19400,25.03
2014/2/25,25.39,25.42,25.35,25.38,25300,24.98
2014/2/24,25.35,25.41,25.35,25.38,22000,24.98
2014/2/21,25.32,25.42,25.32,25.35,15500,24.95
2014/2/20,25.37,25.43,25.35,25.37,24000,24.97
2014/2/19,25.27,25.36,25.27,25.35,38700,24.95
2014/2/18,25.27,25.29,25.26,25.27,31900,24.88
2014/2/14,25.29,25.3,25.25,25.27,36400,24.88
2014/2/13,25.26,25.29,25.26,25.28,28800,24.89
2014/2/12,25.26,25.28,25.25,25.26,20700,24.87
2014/2/11,25.25,25.29,25.25,25.28,50700,24.89
2014/2/10,25.26,25.27,25.24,25.25,21200,24.86
2014/2/7,25.29,25.29,25.23,25.23,29600,24.84
2014/2/6,25.23,25.27,25.22,25.23,46300,24.84
2014/2/5,25.22,25.33,25.19,25.28,64000,24.89
2014/2/4,25.21,25.27,25.19,25.24,63500,24.85
2014/2/3,25.21,25.25,25.2,25.21,21500,24.82
2014/1/31,25.2,25.28,25.2,25.24,17800,24.85
2014/1/30,25.19,25.26,25.15,25.23,17700,24.84
2014/1/29,25.22,25.28,25.17,25.19,19800,24.8
2014/1/28,25.25,25.29,25.16,25.28,46400,24.89
2014/1/27,25.21,25.25,25.16,25.18,39200,24.79
2014/1/24,25.12,25.24,25.1,25.21,53700,24.82
2014/1/23,25.14,25.19,25.11,25.15,67000,24.76
2014/1/22,25.13,25.25,25.12,25.16,79700,24.77
2014/1/21,25.1,25.16,25.07,25.11,85200,24.72
2014/1/17,25.08,25.19,25.04,25.04,121400,24.65
2014/1/16,25.1,25.1,25.08,25.09,11100,24.7
2014/1/15,25.05,25.12,25.02,25.11,51200,24.72
2014/1/14,25.09,25.09,25.06,25.07,14700,24.68
2014/1/13,25.1,25.14,25.05,25.05,40900,24.66
2014/1/10,25.08,25.17,25.03,25.12,24000,24.73
2014/1/9,25.08,25.1,25.07,25.08,9000,24.69
2014/1/8,25.05,25.09,25.05,25.08,26300,24.69
2014/1/7,25.09,25.1,25.04,25.04,32300,24.65
2014/1/6,25.06,25.1,25.04,25.07,23300,24.68
2014/1/3,25,25.05,25,25.05,29500,24.66
2014/1/2,24.96,25.01,24.95,24.97,24200,24.58
2013/12/31,24.93,25.05,24.93,25.05,41200,24.66
2013/12/30,24.8,24.95,24.79,24.92,60800,24.53
2013/12/27,24.83,24.84,24.78,24.79,30300,24.4
2013/12/26,24.83,24.84,24.8,24.83,44100,24.44
2013/12/24,24.85,24.88,24.81,24.83,30900,24.44
2013/12/23,24.85,24.98,24.85,24.85,39500,24.46
2013/12/20,24.88,24.97,24.85,24.9,29500,24.51
2013/12/19,24.89,24.98,24.81,24.93,55100,24.54
2013/12/18,24.99,24.99,24.74,24.83,86400,24.44
2013/12/17,24.88,25.05,24.87,25,68000,24.61
2013/12/16,24.97,24.99,24.9,24.96,51200,24.57
2013/12/13,24.74,25.07,24.74,25.07,89700,24.68
2013/12/12,24.81,24.85,24.75,24.82,86200,24.43
2013/12/11,24.84,24.86,24.81,24.85,165100,24.46
2013/12/10,25.14,25.17,25.1,25.15,71400,24.37
2013/12/9,25.15,25.15,25.1,25.11,63500,24.33
2013/12/6,25.1,25.16,25.1,25.15,54100,24.37
2013/12/5,25.13,25.13,25.1,25.1,30500,24.32
2013/12/4,25.15,25.19,25.12,25.13,16300,24.35
2013/12/3,25.15,25.19,25.14,25.15,21000,24.37
2013/12/2,25.2,25.2,25.13,25.15,20100,24.37
2013/11/29,25.15,25.2,25.11,25.18,32900,24.4
2013/11/27,25.06,25.2,25.06,25.19,33300,24.41
