Date,Open,High,Low,Close,Volume,Adj Close
2014/4/14,196.24,198.24,195.88,197.77,5431100,197.77
2014/4/11,195.04,197,194.27,195.19,4835000,195.19
2014/4/10,196.06,199.21,195.66,195.68,8417900,195.68
2014/4/9,193.88,197,193.6,196.64,5480100,196.64
2014/4/8,193.89,194.17,192.69,193.29,5112000,193.29
2014/4/7,191.72,195.31,191.57,194.52,6740500,194.52
2014/4/4,193.12,193.97,191.28,191.77,6089900,191.77
2014/4/3,193.2,193.38,192.35,192.69,4074500,192.69
2014/4/2,194.24,194.5,192.49,193.55,4924100,193.55
2014/4/1,193.12,195.13,192.78,194.5,5394100,194.5
2014/3/31,191.64,193.77,191.4,192.49,8537300,192.49
2014/3/28,189.94,192.62,189.11,190.45,5194400,190.45
2014/3/27,191.91,192.67,189.32,189.83,6767700,189.83
2014/3/26,194.98,195.63,191.96,192.62,6851700,192.62
2014/3/25,188.76,195.4,188.7,195.04,10912700,195.04
2014/3/24,187.43,189.44,187.37,188.25,5738500,188.25
2014/3/21,188.5,188.7,186.4,186.67,12535200,186.67
2014/3/20,184.47,188.26,184.17,187.9,5062600,187.9
2014/3/19,185.6,186.7,183.5,184.71,4323900,184.71
2014/3/18,185.99,187.9,185.54,186.81,3961300,186.81
2014/3/17,182.66,186.35,182.66,185.81,4938100,185.81
2014/3/14,183.89,184.29,182.21,182.21,5490300,182.21
2014/3/13,186.41,187,183.71,183.9,4913200,183.9
2014/3/12,186.01,187.45,185.89,186.22,4833000,186.22
2014/3/11,187.41,188.45,186.04,186.76,4229500,186.76
2014/3/10,187.55,188.37,185.85,186.39,4591200,186.39
2014/3/7,188.35,188.92,187.18,187.68,4117800,187.68
2014/3/6,187.37,188.39,186.9,187.64,3817300,187.64
2014/3/5,186.57,187.95,186.4,187.14,3485200,187.14
2014/3/4,185.81,187.16,185.68,186.44,4733000,186.44
2014/3/3,183.33,184.64,182.82,184.26,3950100,184.26
2014/2/28,185.38,186.12,183.65,185.17,4667900,185.17
2014/2/27,183.83,185.95,183.81,185.27,3827800,185.27
2014/2/26,183.94,185.28,183.56,184.06,3740700,184.06
2014/2/25,183.52,184.6,182.88,183.23,3902300,183.23
2014/2/24,182.82,185.16,182.82,183.45,4595300,183.45
2014/2/21,184.25,185.71,182.62,182.79,5699300,182.79
2014/2/20,182.96,184.86,182.79,184.26,4968200,184.26
2014/2/19,182.74,185.65,182.41,182.95,4671500,182.95
2014/2/18,183.18,184,182.32,183.19,4435200,183.19
2014/2/14,181.26,184.43,180.99,183.69,4659900,183.69
2014/2/13,178.22,182.36,177.86,181.84,4482000,181.84
2014/2/12,179.52,181.25,179.26,180.24,3983000,180.24
2014/2/11,176.81,180.39,176.8,179.7,4647300,179.7
2014/2/10,176.97,177.65,176.25,177.14,3540400,177.14
2014/2/7,175.64,177.56,175.07,177.25,4692900,177.25
2014/2/6,173.97,174.85,173.79,174.67,4292200,174.67
2014/2/5,172.19,174.97,172.19,174.24,4712300,173.29
2014/2/4,173.53,173.75,172.36,172.84,4349800,171.9
2014/2/3,176.02,176.02,172.72,172.9,7186800,171.96
2014/1/31,176.11,177.84,175.34,176.68,5193400,175.72
2014/1/30,177.17,177.86,176.36,177.36,4853700,176.39
2014/1/29,175.98,178.53,175.89,176.4,4970900,175.44
2014/1/28,178.05,178.45,176.16,176.85,5333300,175.89
2014/1/27,179.61,179.65,177.66,177.9,5208600,176.93
2014/1/24,181.25,182.81,179.64,179.64,6890600,178.66
2014/1/23,181.43,183.72,180.71,182.73,6973900,181.73
2014/1/22,181.28,183.5,179.67,182.25,13796100,181.26
2014/1/21,190.23,190.39,186.79,188.43,11076300,187.4
2014/1/17,188.04,190.81,187.86,190.09,7644600,189.05
2014/1/16,187.53,188.99,186.8,188.76,4770300,187.73
2014/1/15,185.82,188.65,185.49,187.74,4816500,186.72
2014/1/14,185.06,186.43,183.88,185.92,4619200,184.91
2014/1/13,186.26,186.95,183.86,184.16,5784700,183.16
2014/1/10,188.31,188.57,186.28,187.26,4022400,186.24
2014/1/9,189.02,189.5,186.55,187.38,4321300,186.36
2014/1/8,189.33,189.42,187.26,187.97,4603700,186.95
